"","GDPC1"
"1",2182.681
"2",2176.892
"3",2172.432
"4",2206.452
"5",2239.682
"6",2276.69
"7",2289.77
"8",2292.364
"9",2260.807
"10",2253.128
"11",2276.424
"12",2257.352
"13",2346.104
"14",2417.682
"15",2511.127
"16",2559.214
"17",2593.967
"18",2638.898
"19",2693.259
"20",2699.156
"21",2727.954
"22",2733.8
"23",2753.517
"24",2843.941
"25",2896.811
"26",2919.206
"27",2902.785
"28",2858.845
"29",2845.192
"30",2848.305
"31",2880.482
"32",2936.852
"33",3020.746
"34",3069.91
"35",3111.379
"36",3130.068
"37",3117.922
"38",3143.694
"39",3140.874
"40",3192.57
"41",3213.011
"42",3205.97
"43",3237.386
"44",3203.894
"45",3120.724
"46",3141.224
"47",3213.884
"48",3289.032
"49",3352.129
"50",3427.667
"51",3430.057
"52",3439.832
"53",3517.181
"54",3498.246
"55",3515.385
"56",3470.278
"57",3493.703
"58",3553.021
"59",3621.252
"60",3692.289
"61",3758.147
"62",3792.149
"63",3838.776
"64",3851.421
"65",3893.482
"66",3937.183
"67",4023.755
"68",4050.147
"69",4135.553
"70",4180.592
"71",4245.918
"72",4259.046
"73",4362.111
"74",4417.225
"75",4515.427
"76",4619.458
"77",4731.888
"78",4748.046
"79",4788.254
"80",4827.537
"81",4870.299
"82",4873.287
"83",4919.392
"84",4956.477
"85",5057.553
"86",5142.033
"87",5181.859
"88",5202.212
"89",5283.597
"90",5299.625
"91",5334.6
"92",5308.556
"93",5300.652
"94",5308.164
"95",5357.077
"96",5299.672
"97",5443.619
"98",5473.059
"99",5518.072
"100",5531.032
"101",5632.649
"102",5760.47
"103",5814.854
"104",5912.22
"105",6058.544
"106",6124.506
"107",6092.301
"108",6150.131
"109",6097.258
"110",6111.751
"111",6053.978
"112",6030.464
"113",5957.035
"114",5999.61
"115",6102.326
"116",6184.53
"117",6323.649
"118",6370.025
"119",6404.895
"120",6451.177
"121",6527.703
"122",6654.466
"123",6774.457
"124",6774.592
"125",6796.26
"126",7058.92
"127",7129.915
"128",7225.75
"129",7238.727
"130",7246.454
"131",7300.281
"132",7318.535
"133",7341.557
"134",7190.289
"135",7181.743
"136",7315.677
"137",7459.022
"138",7403.745
"139",7492.405
"140",7410.768
"141",7295.631
"142",7328.912
"143",7300.896
"144",7303.817
"145",7400.066
"146",7568.456
"147",7719.746
"148",7880.794
"149",8034.847
"150",8173.67
"151",8252.465
"152",8320.199
"153",8400.82
"154",8474.787
"155",8604.22
"156",8668.188
"157",8749.127
"158",8788.524
"159",8872.601
"160",8920.193
"161",8986.367
"162",9083.256
"163",9162.024
"164",9319.332
"165",9367.502
"166",9490.594
"167",9546.206
"168",9673.405
"169",9771.725
"170",9846.293
"171",9919.228
"172",9938.767
"173",10047.386
"174",10083.855
"175",10090.569
"176",9998.704
"177",9951.916
"178",10029.51
"179",10080.195
"180",10115.329
"181",10236.435
"182",10347.429
"183",10449.673
"184",10558.648
"185",10576.275
"186",10637.847
"187",10688.606
"188",10833.987
"189",10939.116
"190",11087.361
"191",11152.176
"192",11279.932
"193",11319.951
"194",11353.721
"195",11450.31
"196",11528.067
"197",11614.418
"198",11808.14
"199",11914.063
"200",12037.775
"201",12115.472
"202",12317.221
"203",12471.01
"204",12577.495
"205",12703.742
"206",12821.339
"207",12982.752
"208",13191.67
"209",13315.597
"210",13426.748
"211",13604.771
"212",13827.98
"213",13878.147
"214",14130.908
"215",14145.312
"216",14229.765
"217",14183.12
"218",14271.694
"219",14214.516
"220",14253.574
"221",14372.785
"222",14460.848
"223",14519.633
"224",14537.58
"225",14614.141
"226",14743.567
"227",14988.782
"228",15162.76
"229",15248.68
"230",15366.85
"231",15512.619
"232",15670.88
"233",15844.727
"234",15922.782
"235",16047.587
"236",16136.734
"237",16353.835
"238",16396.151
"239",16420.738
"240",16561.866
"241",16611.69
"242",16713.314
"243",16809.587
"244",16915.191
"245",16843.003
"246",16943.291
"247",16854.295
"248",16485.35
"249",16298.262
"250",16269.145
"251",16326.281
"252",16502.754
"253",16582.71
"254",16743.162
"255",16872.266
"256",16960.864
"257",16920.632
"258",17035.114
"259",17031.313
"260",17222.583
"261",17367.01
"262",17444.525
"263",17469.65
"264",17489.852
"265",17662.4
"266",17709.671
"267",17860.45
"268",18016.147
"269",17953.974
"270",18185.911
"271",18406.941
"272",18500.031
"273",18666.621
"274",18782.243
"275",18857.418
"276",18892.206
"277",19001.69
"278",19062.709
"279",19197.938
"280",19304.352
"281",19398.343
"282",19506.949
"283",19660.766
"284",19882.352
"285",20044.077
"286",20150.476
"287",20276.154
"288",20304.874
"289",20431.641
"290",20602.275
"291",20843.322
"292",20985.448
"293",20693.238
"294",19056.617
"295",20548.793
"296",20771.691
"297",21058.379
"298",21389.005
"299",21571.421
"300",21960.388
"301",21903.85
"302",21919.222
"303",22066.784
"304",22249.459
"305",22403.435
"306",22539.418
"307",22780.933
"308",22960.6
"309",23053.545
"310",23223.906
"311",23400.294
"312",23542.349
"313",23512.717
"314",23703.782
