"","GDPC1","PCECC96"
"1",2182.681,1351.397
"2",2176.892,1373.88
"3",2172.432,1378.358
"4",2206.452,1378.796
"5",2239.682,1385.667
"6",2276.69,1401.789
"7",2289.77,1403.859
"8",2292.364,1415.063
"9",2260.807,1417.353
"10",2253.128,1439.077
"11",2276.424,1442.341
"12",2257.352,1463.488
"13",2346.104,1487.854
"14",2417.682,1512.357
"15",2511.127,1590.019
"16",2559.214,1542.087
"17",2593.967,1579.375
"18",2638.898,1534.744
"19",2693.259,1552.624
"20",2699.156,1561.67
"21",2727.954,1565.288
"22",2733.8,1595.941
"23",2753.517,1603.596
"24",2843.941,1660.168
"25",2896.811,1679.665
"26",2919.206,1689.777
"27",2902.785,1685.752
"28",2858.845,1674.449
"29",2845.192,1680.625
"30",2848.305,1702.449
"31",2880.482,1725.489
"32",2936.852,1761.703
"33",3020.746,1801.231
"34",3069.91,1835.737
"35",3111.379,1858.411
"36",3130.068,1881.748
"37",3117.922,1884.805
"38",3143.694,1891.074
"39",3140.874,1895.35
"40",3192.57,1921.479
"41",3213.011,1934.843
"42",3205.97,1938.216
"43",3237.386,1953.532
"44",3203.894,1954.346
"45",3120.724,1927.309
"46",3141.224,1943.243
"47",3213.884,1975.484
"48",3289.032,2002.318
"49",3352.129,2039.017
"50",3427.667,2070.508
"51",3430.057,2092.138
"52",3439.832,2094.495
"53",3517.181,2114.532
"54",3498.246,2141.205
"55",3515.385,2132.646
"56",3470.278,2135.408
"57",3493.703,2134.615
"58",3553.021,2166.382
"59",3621.252,2176.916
"60",3692.289,2220.704
"61",3758.147,2244.227
"62",3792.149,2271.817
"63",3838.776,2290.126
"64",3851.421,2322.53
"65",3893.482,2338.799
"66",3937.183,2360.869
"67",4023.755,2392.896
"68",4050.147,2412.836
"69",4135.553,2460.191
"70",4180.592,2503.709
"71",4245.918,2549.958
"72",4259.046,2557.236
"73",4362.111,2614.265
"74",4417.225,2643.097
"75",4515.427,2688.512
"76",4619.458,2764.094
"77",4731.888,2804.899
"78",4748.046,2812.086
"79",4788.254,2844.198
"80",4827.537,2856.047
"81",4870.299,2872.504
"82",4873.287,2911.776
"83",4919.392,2926.685
"84",4956.477,2944.594
"85",5057.553,3015.162
"86",5142.033,3061.075
"87",5181.859,3118.445
"88",5202.212,3132.511
"89",5283.597,3167.245
"90",5299.625,3187.677
"91",5334.6,3203.218
"92",5308.556,3228.82
"93",5300.652,3248.853
"94",5308.164,3263.571
"95",5357.077,3292.183
"96",5299.672,3283.245
"97",5443.619,3346.268
"98",5473.059,3377.022
"99",5518.072,3403.947
"100",5531.032,3460.427
"101",5632.649,3506.098
"102",5760.47,3572.842
"103",5814.854,3627.904
"104",5912.22,3713.038
"105",6058.544,3780.829
"106",6124.506,3779.125
"107",6092.301,3792.426
"108",6150.131,3781.115
"109",6097.258,3747.286
"110",6111.751,3760.779
"111",6053.978,3776.934
"112",6030.464,3721.726
"113",5957.035,3752.942
"114",5999.61,3814.672
"115",6102.326,3868.889
"116",6184.53,3910.492
"117",6323.649,3988.677
"118",6370.025,4025.375
"119",6404.895,4067.757
"120",6451.177,4120.536
"121",6527.703,4169.104
"122",6654.466,4191.711
"123",6774.457,4231.345
"124",6774.592,4294.965
"125",6796.26,4319.094
"126",7058.92,4411.431
"127",7129.915,4429.955
"128",7225.75,4465.702
"129",7238.727,4488.83
"130",7246.454,4485.916
"131",7300.281,4529.568
"132",7318.535,4540.839
"133",7341.557,4534.348
"134",7190.289,4432.231
"135",7181.743,4480.849
"136",7315.677,4541.39
"137",7459.022,4556.603
"138",7403.745,4556.934
"139",7492.405,4578.013
"140",7410.768,4546.699
"141",7295.631,4580.19
"142",7328.912,4594.142
"143",7300.896,4624.939
"144",7303.817,4705.953
"145",7400.066,4752.481
"146",7568.456,4849.254
"147",7719.746,4936.211
"148",7880.794,5014.874
"149",8034.847,5056.492
"150",8173.67,5127.332
"151",8252.465,5165.357
"152",8320.199,5232.266
"153",8400.82,5321.159
"154",8474.787,5370.011
"155",8604.22,5472.014
"156",8668.188,5483.866
"157",8749.127,5531.807
"158",8788.524,5592.08
"159",8872.601,5690.971
"160",8920.193,5725.812
"161",8986.367,5731.226
"162",9083.256,5809.376
"163",9162.024,5875.641
"164",9319.332,5888.065
"165",9367.502,5992.101
"166",9490.594,6036.355
"167",9546.206,6090.001
"168",9673.405,6159.246
"169",9771.725,6187.816
"170",9846.293,6216.695
"171",9919.228,6276.877
"172",9938.767,6304.157
"173",10047.386,6357.213
"174",10083.855,6376.579
"175",10090.569,6401.841
"176",9998.704,6353.139
"177",9951.916,6329.249
"178",10029.51,6381.703
"179",10080.195,6413.521
"180",10115.329,6410.312
"181",10236.435,6530.335
"182",10347.429,6574.665
"183",10449.673,6645.14
"184",10558.648,6724.342
"185",10576.275,6750.123
"186",10637.847,6811.522
"187",10688.606,6887.329
"188",10833.987,6947.788
"189",10939.116,7027.255
"190",11087.361,7081.931
"191",11152.176,7135.93
"192",11279.932,7213.079
"193",11319.951,7231.032
"194",11353.721,7294.424
"195",11450.31,7360.529
"196",11528.067,7411.873
"197",11614.418,7480.231
"198",11808.14,7560.702
"199",11914.063,7606.475
"200",12037.775,7667.062
"201",12115.472,7747.88
"202",12317.221,7782.76
"203",12471.01,7915.359
"204",12577.495,8009.964
"205",12703.742,8090.987
"206",12821.339,8233.463
"207",12982.752,8340.831
"208",13191.67,8461.33
"209",13315.597,8548.235
"210",13426.748,8679.143
"211",13604.771,8776.715
"212",13827.98,8905.093
"213",13878.147,9039.743
"214",14130.908,9124.152
"215",14145.312,9211.569
"216",14229.765,9292.05
"217",14183.12,9325.751
"218",14271.694,9344.486
"219",14214.516,9377.003
"220",14253.574,9528.302
"221",14372.785,9549.516
"222",14460.848,9597.82
"223",14519.633,9664.988
"224",14537.58,9718.745
"225",14614.141,9766.616
"226",14743.567,9878.442
"227",14988.782,10018.122
"228",15162.76,10087.092
"229",15248.68,10181.141
"230",15366.85,10236.694
"231",15512.619,10356.936
"232",15670.88,10474.084
"233",15844.727,10540.638
"234",15922.782,10657.449
"235",16047.587,10745.873
"236",16136.734,10765.68
"237",16353.835,10883.075
"238",16396.151,10939.498
"239",16420.738,11009.748
"240",16561.866,11114.771
"241",16611.69,11183.323
"242",16713.314,11212.669
"243",16809.587,11287.468
"244",16915.191,11331.949
"245",16843.003,11316.411
"246",16943.291,11347.595
"247",16854.295,11260.136
"248",16485.35,11158.801
"249",16298.262,11130.464
"250",16269.145,11075.748
"251",16326.281,11150.23
"252",16502.754,11137.946
"253",16582.71,11202.495
"254",16743.162,11302.955
"255",16872.266,11383.596
"256",16960.864,11453.368
"257",16920.632,11497.12
"258",17035.114,11508.95
"259",17031.313,11543.975
"260",17222.583,11563.89
"261",17367.01,11647.297
"262",17444.525,11667.753
"263",17469.65,11691.414
"264",17489.852,11738.007
"265",17662.4,11814.326
"266",17709.671,11848.089
"267",17860.45,11896.258
"268",18016.147,12001.027
"269",17953.974,12044.203
"270",18185.911,12159.899
"271",18406.941,12280.086
"272",18500.031,12421.595
"273",18666.621,12516.902
"274",18782.243,12603.053
"275",18857.418,12691.79
"276",18892.206,12743.411
"277",19001.69,12839.618
"278",19062.709,12903.306
"279",19197.938,12993.064
"280",19304.352,13060.061
"281",19398.343,13160.475
"282",19506.949,13225.743
"283",19660.766,13315.382
"284",19882.352,13460.902
"285",20044.077,13558.373
"286",20150.476,13630.967
"287",20276.154,13693.79
"288",20304.874,13736.572
"289",20431.641,13758.331
"290",20602.275,13875.705
"291",20843.322,14033.222
"292",20985.448,14125.274
"293",20693.238,13885.947
"294",19056.617,12671.879
"295",20548.793,13813.007
"296",20771.691,14008.054
"297",21058.379,14328.593
"298",21389.005,14809.081
"299",21571.421,14924.311
"300",21960.388,15086.943
"301",21903.85,15123.357
"302",21919.222,15219.86
"303",22066.784,15277.569
"304",22249.459,15323.98
"305",22403.435,15510.201
"306",22539.418,15548.526
"307",22780.933,15646.695
"308",22960.6,15781.367
"309",23053.545,15856.867
"310",23223.906,15967.266
"311",23400.294,16113.035
"312",23542.349,16273.191
"313",23512.717,16291.824
"314",23703.782,16355.352
