"date","value","D1","D2","D3","D4","quarter"
1947-01-01,2182.681,1,0,0,0,1
1947-04-01,2176.892,0,1,0,0,2
1947-07-01,2172.432,0,0,1,0,3
1947-10-01,2206.452,0,0,0,1,4
1948-01-01,2239.682,1,0,0,0,1
1948-04-01,2276.69,0,1,0,0,2
1948-07-01,2289.77,0,0,1,0,3
1948-10-01,2292.364,0,0,0,1,4
1949-01-01,2260.807,1,0,0,0,1
1949-04-01,2253.128,0,1,0,0,2
1949-07-01,2276.424,0,0,1,0,3
1949-10-01,2257.352,0,0,0,1,4
1950-01-01,2346.104,1,0,0,0,1
1950-04-01,2417.682,0,1,0,0,2
1950-07-01,2511.127,0,0,1,0,3
1950-10-01,2559.214,0,0,0,1,4
1951-01-01,2593.967,1,0,0,0,1
1951-04-01,2638.898,0,1,0,0,2
1951-07-01,2693.259,0,0,1,0,3
1951-10-01,2699.156,0,0,0,1,4
1952-01-01,2727.954,1,0,0,0,1
1952-04-01,2733.8,0,1,0,0,2
1952-07-01,2753.517,0,0,1,0,3
1952-10-01,2843.941,0,0,0,1,4
1953-01-01,2896.811,1,0,0,0,1
1953-04-01,2919.206,0,1,0,0,2
1953-07-01,2902.785,0,0,1,0,3
1953-10-01,2858.845,0,0,0,1,4
1954-01-01,2845.192,1,0,0,0,1
1954-04-01,2848.305,0,1,0,0,2
1954-07-01,2880.482,0,0,1,0,3
1954-10-01,2936.852,0,0,0,1,4
1955-01-01,3020.746,1,0,0,0,1
1955-04-01,3069.91,0,1,0,0,2
1955-07-01,3111.379,0,0,1,0,3
1955-10-01,3130.068,0,0,0,1,4
1956-01-01,3117.922,1,0,0,0,1
1956-04-01,3143.694,0,1,0,0,2
1956-07-01,3140.874,0,0,1,0,3
1956-10-01,3192.57,0,0,0,1,4
1957-01-01,3213.011,1,0,0,0,1
1957-04-01,3205.97,0,1,0,0,2
1957-07-01,3237.386,0,0,1,0,3
1957-10-01,3203.894,0,0,0,1,4
1958-01-01,3120.724,1,0,0,0,1
1958-04-01,3141.224,0,1,0,0,2
1958-07-01,3213.884,0,0,1,0,3
1958-10-01,3289.032,0,0,0,1,4
1959-01-01,3352.129,1,0,0,0,1
1959-04-01,3427.667,0,1,0,0,2
1959-07-01,3430.057,0,0,1,0,3
1959-10-01,3439.832,0,0,0,1,4
1960-01-01,3517.181,1,0,0,0,1
1960-04-01,3498.246,0,1,0,0,2
1960-07-01,3515.385,0,0,1,0,3
1960-10-01,3470.278,0,0,0,1,4
1961-01-01,3493.703,1,0,0,0,1
1961-04-01,3553.021,0,1,0,0,2
1961-07-01,3621.252,0,0,1,0,3
1961-10-01,3692.289,0,0,0,1,4
1962-01-01,3758.147,1,0,0,0,1
