"date","value"
2015-09-24,-0.3363
2015-09-25,-0.04658
2015-09-28,-2.56661
2015-09-29,0.12329
2015-09-30,1.90755
2015-10-01,0.19739
2015-10-02,1.43153
2015-10-05,1.82898
2015-10-06,-0.35882
2015-10-07,0.80357
2015-10-08,0.88184
2015-10-09,0.07251
2015-10-12,0.12755
2015-10-13,-0.68254
2015-10-14,-0.47163
2015-10-15,1.48528
2015-10-16,0.45705
2015-10-19,0.02705
2015-10-20,-0.14211
2015-10-21,-0.58254
2015-10-22,1.66275
2015-10-23,1.10304
2015-10-26,-0.19131
2015-10-27,-0.25541
2015-10-28,1.18399
2015-10-29,-0.04497
2015-10-30,-0.481
2015-11-02,1.18738
2015-11-03,0.27281
2015-11-04,-0.35454
2015-11-05,-0.11321
2015-11-06,-0.03476
2015-11-09,-0.98228
2015-11-10,0.15106
2015-11-11,-0.32281
2015-11-12,-1.39904
2015-11-13,-1.12074
2015-11-16,1.49033
2015-11-17,-0.13394
2015-11-18,1.61624
2015-11-19,-0.11231
2015-11-20,0.38102
2015-11-23,-0.12349
2015-11-24,0.12221
2015-11-25,-0.01292
2015-11-30,-0.46409
2015-12-01,1.06806
2015-12-02,-1.09958
2015-12-03,-1.43736
2015-12-04,2.05258
2015-12-07,-0.69896
2015-12-08,-0.64899
2015-12-09,-0.77389
2015-12-10,0.22514
2015-12-11,-1.94228
2015-12-14,0.47556
2015-12-15,1.06185
2015-12-16,1.4515
2015-12-17,-1.50405
2015-12-18,-1.77972
2015-12-21,0.77784
2015-12-22,0.88168
2015-12-23,1.2418
2015-12-24,-0.15986
2015-12-29,1.06297
2015-12-30,-0.72172
2015-12-31,-0.94118
2016-01-05,0.20123
2016-01-06,-1.31154
2016-01-07,-2.37004
2016-01-08,-1.08384
2016-01-11,0.08533
2016-01-12,0.78028
2016-01-13,-2.49654
2016-01-14,1.66959
2016-01-15,-2.15991
2016-01-20,-1.16939
2016-01-21,0.51954
2016-01-22,2.02837
2016-01-25,-1.56379
2016-01-26,1.41443
2016-01-27,-1.08635
2016-01-28,0.55286
2016-01-29,2.47602
2016-02-01,-0.04432
2016-02-02,-1.87431
2016-02-03,0.4992
2016-02-04,0.15268
2016-02-05,-1.84813
2016-02-08,-1.41539
2016-02-09,-0.06636
2016-02-10,-0.0189
2016-02-11,-1.23011
2016-02-12,1.9518
2016-02-17,1.64804
2016-02-18,-0.46657
2016-02-19,-0.00261
2016-02-22,1.44542
2016-02-23,-1.24544
2016-02-24,0.44398
2016-02-25,1.13483
2016-02-26,-0.18702
2016-02-29,-0.81209
2016-03-01,2.38688
2016-03-02,0.40943
2016-03-03,0.34987
2016-03-04,0.33059
2016-03-07,0.0885
2016-03-08,-1.12401
2016-03-09,0.50524
2016-03-10,0.01558
2016-03-11,1.63955
2016-03-14,-0.1261
2016-03-15,-0.1837
2016-03-16,0.56004
2016-03-17,0.65952
2016-03-18,0.44056
2016-03-21,0.09856
2016-03-22,-0.08774
